genes,coordinates
YER034W,chrV:241563-241654:+
YER035W,chrV:242308-242461:+
YER036C,chrV:244977-245075:-
YER037W,chrV:245537-245654:+
YER038C,chrV:247997-248027:-
YER040W,chrV:249446-249501:+
YER041W,chrV:252115-252170:+
YER042W,chrV:254597-254691:+
YER043C,chrV:256901-256974:-
YER044C,chrV:257801-257914:-
YER044C-A,chrV:259525-259594:-
YER045C,chrV:261523-261530:-
YER046W,chrV:262797-262991:+
YER047C,chrV:266374-266458:-
YEL072W,chrV:26771-26873:+
YER048C,chrV:267920-268047:-
YER048W-A,chrV:270047-270123:+
YER049W,chrV:271072-271145:+
YER051W,chrV:274055-274097:+
YER052C,chrV:277428-277580:-
YER053C,chrV:279058-279287:-
YER054C,chrV:283515-283626:-
YER055C,chrV:285254-285361:-
YER056C,chrV:287637-287760:-
YER057C,chrV:290581-290654:-
YER058W,chrV:291147-291224:+
YER059W,chrV:291850-291939:+
YER060W,chrV:293860-293866:+
YEL071W,chrV:29456-29527:+
YER061C,chrV:299057-299165:-
YER062C,chrV:300170-300275:-
YER063W,chrV:301016-301136:+
YER064C,chrV:303745:-
YER065C,chrV:306337-306461:-
YER067W,chrV:311376-311430:+
YER068W,chrV:312328-312402:+
YER069W,chrV:314744-314858:+
YER070W,chrV:318109-318322:+
YER071C,chrV:321699-321764:-
YER072W,chrV:322109-322204:+
YER073W,chrV:323345-323424:+
YER074W,chrV:325675-325705:+
YER074W-A,chrV:326992-327066:+
YER075C,chrV:330735-330776:-
YER076C,chrV:333349-333413:-
YER078C,chrV:338286-338297:-
YER079W,chrV:338530-338635:+
YER080W,chrV:339645-339703:+
YER081W,chrV:342343-342413:+
YER082C,chrV:345709-345743:-
YER083C,chrV:346779-346824:-
YER084W,chrV:346983-347012:+
YER085C,chrV:347918-347922:-
YER086W,chrV:348115-348185:+
YER087W,chrV:350220-350287:+
YER087C-B,chrV:352580-352645:-
YER088C,chrV:354973-355264:-
YER089C,chrV:357379-357421:-
YER090W,chrV:357601-357663:+
YER091C,chrV:361972-362091:-
YER092W,chrV:362539-362652:+
YER093C,chrV:367398-367438:-
YER093C-A,chrV:368111-368189:-
YER094C,chrV:369099-369209:-
YER095W,chrV:369638-369756:+
YER096W,chrV:371273-371380:+
YER098W,chrV:374594-374650:+
YER099C,chrV:378410-378463:-
YER100W,chrV:378633-378884:+
YER101C,chrV:381168-381236:-
YER102W,chrV:382449-382457:+
YER103W,chrV:383887-383948:+
YER104W,chrV:386099-386158:+
YER105C,chrV:391397-391441:-
YEL068C,chrV:39155-39184:-
YER106W,chrV:391606-391620:+
YER107C,chrV:394064-394110:-
YEL066W,chrV:39808-39883:+
YER110C,chrV:401578-401621:-
YER111C,chrV:405531-405604:-
YEL065W,chrV:40633-40876:+
YER112W,chrV:406493-406580:+
YER113C,chrV:409554-409594:-
YER114C,chrV:413317-413410:-
YER116C,chrV:415575-415653:-
YER117W,chrV:416077-416129:+
YER118C,chrV:418504-418629:-
YER119C,chrV:420211-420295:-
YER120W,chrV:420413-420548:+
YER121W,chrV:421606-421782:+
YER122C,chrV:423725-423820:-
YER123W,chrV:423979-424016:+
YER124C,chrV:428450-428513:-
YER126C,chrV:433555-433643:-
YER127W,chrV:433808-433843:+
YER128W,chrV:435149-435238:+
YER130C,chrV:441828-441881:-
YEL064C,chrV:44424-44493:-
YER132C,chrV:450047:-
YER134C,chrV:456874-456941:-
YER136W,chrV:458853-458983:+
YER137C,chrV:461235-461246:-
YEL063C,chrV:46641-46892:-
YER139C,chrV:470735-470813:-
YER140W,chrV:470907-470949:+
YER141W,chrV:472753-472832:+
YER142C,chrV:475457-475548:-
YER143W,chrV:475623-475717:+
YER144C,chrV:479583-479646:-
YER145C,chrV:480995-481238:-
YER146W,chrV:481951-482096:+
YER147C,chrV:484275-484377:-
YER148W,chrV:484513-484555:+
YER149C,chrV:486919-486990:-
YER150W,chrV:487616-487833:+
YER151C,chrV:492213-492279:-
YER153C,chrV:494536-494566:-
YER154W,chrV:494694-494747:+
YER155C,chrV:502600:-
YER156C,chrV:504072-504103:-
YER157W,chrV:504484-504515:+
YER158C,chrV:510091-510235:-
YER159C,chrV:511238-511404:-
YER161C,chrV:513999-514037:-
YER162C,chrV:516464-516584:-
YER163C,chrV:517396-517441:-
YER164W,chrV:518682-518721:+
YER165W,chrV:523823-523856:+
YER166W,chrV:526051-526118:+
YEL061C,chrV:52776-52858:-
YER167W,chrV:531545:+
YER168C,chrV:536303-536357:-
YER169W,chrV:536702-536775:+
YER170W,chrV:539504-539586:+
YER171W,chrV:540574-540619:+
YER172C,chrV:549684-549705:-
YER173W,chrV:549858-549928:+
YEL060C,chrV:55107-55205:-
YER174C,chrV:552840-552933:-
YER175C,chrV:553992-554075:-
YER176W,chrV:555261-555271:+
YEL059C-A,chrV:55767-55878:-
YER177W,chrV:559040-559254:+
YER179W,chrV:561906-562087:+
YEL058W,chrV:56316-56404:+
YER180C-A,chrV:564756-564786:-
YER182W,chrV:566061-566148:+
YER183C,chrV:567583-567597:-
YER184C,chrV:572681:-
YEL056W,chrV:60260-60300:+
YEL055C,chrV:64764:-
YEL054C,chrV:66392-66470:-
YEL053C,chrV:69338-69353:-
YEL052W,chrV:69676-69760:+
YEL051W,chrV:71475-71542:+
YEL050C,chrV:74048-74112:-
YEL049W,chrV:76388-76391:+
YEL048C,chrV:78001:-
YEL047C,chrV:79629-79657:-
YEL046C,chrV:81682-81751:-
YEL044W,chrV:82398-82599:+
YEL043W,chrV:83262-83294:+
YEL042W,chrV:86383-86515:+
YEL041W,chrV:88605-88669:+
YEL040W,chrV:90842-90880:+
YEL039C,chrV:98833-98976:-
YEL038W,chrV:99207-99305:+
YFL029C,chrVI:100101-100147:-
YFL028C,chrVI:101096-101177:-
YFL027C,chrVI:102843-102895:-
YFL025C,chrVI:108228-108280:-
YFL024C,chrVI:111578-111639:-
YFL023W,chrVI:111929-111942:+
YFL061W,chrVI:11474:+
YFL022C,chrVI:116064-116135:-
YFL021W,chrVI:117045-117213:+
YFL018C,chrVI:124190-124292:-
YFL017W-A,chrVI:124647-124742:+
YFL017C,chrVI:125483-125577:-
YFL016C,chrVI:127285-127370:-
YFL014W,chrVI:128148-128398:+
YFL060C,chrVI:12941-13001:-
YFL013C,chrVI:131012-131033:-
YFL012W,chrVI:131584-131651:+
YFL059W,chrVI:13202-13256:+
YFL010C,chrVI:137098-137180:-
YFL009W,chrVI:137283-137346:+
YFL008W,chrVI:140701-140758:+
YFL007W,chrVI:144669-144745:+
YFL005W,chrVI:151474-151686:+
YFL004W,chrVI:153077-153164:+
YFL003C,chrVI:158531-158651:-
YFL002C,chrVI:169338-169381:-
YFL001W,chrVI:169492-169553:+
YFR001W,chrVI:171429-171502:+
YFR002W,chrVI:172379-172409:+
YFR003C,chrVI:175522-175649:-
YFR004W,chrVI:175722-175800:+
YFR005C,chrVI:178288-178317:-
YFR006W,chrVI:178486-178613:+
YFR007W,chrVI:181620-181683:+
YFR008W,chrVI:182836-182935:+
YFR009W,chrVI:184809-184844:+
YFL055W,chrVI:18551-18566:+
YFR010W,chrVI:187370-187439:+
YFR011C,chrVI:189656-189701:-
YFR013W,chrVI:192207-192251:+
YFR014C,chrVI:196207-196385:-
YFR015C,chrVI:198773-198853:-
YFR016C,chrVI:203143-203243:-
YFR017C,chrVI:205613-205747:-
YFR018C,chrVI:206998-207043:-
YFR019W,chrVI:207218-207259:+
YFR020W,chrVI:215288-215372:+
YFR021W,chrVI:217407-217453:+
YFR022W,chrVI:219498:+
YFR023W,chrVI:222410-222488:+
YFR024C-A,chrVI:226138-226168:-
YFR025C,chrVI:227465-227551:-
YFR026C,chrVI:228963-229016:-
YFR027W,chrVI:230022-230111:+
YFR028C,chrVI:232778-232799:-
YFR029W,chrVI:233444-233526:+
YFR030W,chrVI:235789-235910:+
YFR031C,chrVI:242737-242788:-
YFL054C,chrVI:24400-24481:-
YFR031C-A,chrVI:244052-244164:-
YFR032C,chrVI:245581-245641:-
YFR032C-A,chrVI:246045:-
YFR033C,chrVI:247370-247510:-
YFR034C,chrVI:248579-248633:-
YFR036W,chrVI:249529-249560:+
YFR037C,chrVI:251785-251839:-
YFR038W,chrVI:251947-252004:+
YFR039C,chrVI:256163-256287:-
YFR040W,chrVI:256532-256625:+
YFR041C,chrVI:260878-260929:-
YFR042W,chrVI:261018-261080:+
YFR043C,chrVI:262425-262522:-
YFR044C,chrVI:264064-264117:-
YFR045W,chrVI:264699:+
YFR046C,chrVI:266721-266810:-
YFR047C,chrVI:267791-267829:-
YFR048W,chrVI:268683-268729:+
YFR049W,chrVI:270928-271123:+
YFR050C,chrVI:272482-272570:-
YFR051C,chrVI:274416-274487:-
YFR052W,chrVI:275041-275127:+
YFR053C,chrVI:277742-277860:-
YFR055W,chrVI:286535-286577:+
YFR057W,chrVI:291124:+
YFL049W,chrVI:57701-57751:+
YFL048C,chrVI:61129-61169:-
YFL047W,chrVI:61345-61363:+
YFL046W,chrVI:63633-63754:+
YFL045C,chrVI:65341-65441:-
YFL044C,chrVI:66484-66583:-
YFL042C,chrVI:68693-68730:-
YFL041W,chrVI:70039-70080:+
YFL039C,chrVI:75702-75851:-
YFL038C,chrVI:76927-77021:-
YFL037W,chrVI:77177-77264:+
YFL036W,chrVI:79450-79506:+
YFL034C-B,chrVI:84956-85008:-
YFL034C-A,chrVI:85899-85949:-
YFL034W,chrVI:86210-86238:+
YFL033C,chrVI:95461-95604:-
YFL031W,chrVI:95975-96055:+
YFL030W,chrVI:97627-97751:+
YGL207W,chrVII:100020-100084:+
YGR261C,chrVII:1002358-1002387:-
YGR262C,chrVII:1003340-1003389:-
YGR263C,chrVII:1004776-1004864:-
YGR264C,chrVII:1007438-1007504:-
YGR266W,chrVII:1008155-1008239:+
YGR267C,chrVII:1011432-1011535:-
YGR268C,chrVII:1012183-1012280:-
YGR270W,chrVII:1012809-1012835:+
YGR271W,chrVII:1017344-1017346:+
YGR271C-A,chrVII:1024078-1024131:-
YGR273C,chrVII:1024836-1024873:-
YGR274C,chrVII:1028671-1028726:-
YGR276C,chrVII:1031054-1031097:-
YGR277C,chrVII:1032125-1032169:-
YGR278W,chrVII:1032272-1032298:+
YGR279C,chrVII:1035598-1035762:-
YGR280C,chrVII:1037338-1037369:-
YGR281W,chrVII:1038168-1038208:+
YGR282C,chrVII:1044326-1044473:-
YGR284C,chrVII:1047202-1047279:-
YGR285C,chrVII:1048755-1048806:-
YGR286C,chrVII:1050567-1050620:-
YGR292W,chrVII:1060436-1060451:+
YGL206C,chrVII:108751-108800:-
YGL205W,chrVII:109108-109327:+
YGL203C,chrVII:115897-115993:-
YGL202W,chrVII:117113-117243:+
YGL201C,chrVII:122109-122199:-
YGL200C,chrVII:124524-124593:-
YGL198W,chrVII:124778-124824:+
YGL197W,chrVII:125661-125784:+
YGL196W,chrVII:130953-131031:+
YGL195W,chrVII:132689-132701:+
YGL194C-A,chrVII:141229-141254:-
YGL194C,chrVII:143062:-
YGL191W,chrVII:145895-146058:+
YGL190C,chrVII:148848-148944:-
YGL189C,chrVII:149786-149802:-
YGL187C,chrVII:151387:-
YGL186C,chrVII:153988-154093:-
YGL185C,chrVII:155519-155560:-
YGL184C,chrVII:157247-157391:-
YGL183C,chrVII:158447-158586:-
YGL181W,chrVII:159006-159085:+
YGL180W,chrVII:160693-160912:+
YGL255W,chrVII:16072-16102:+
YGL179C,chrVII:166377-166384:-
YGL254W,chrVII:17414-17451:+
YGL176C,chrVII:174335-174346:-
YGL175C,chrVII:175549-175591:-
YGL174W,chrVII:175686-175786:+
YGL173C,chrVII:181635-181657:-
YGL172W,chrVII:181863-181905:+
YGL171W,chrVII:183554-183602:+
YGL170C,chrVII:186611-186638:-
YGL169W,chrVII:187213-187272:+
YGL253W,chrVII:19048-19050:+
YGL167C,chrVII:191852-191949:-
YGL166W,chrVII:192270-192355:+
YGL164C,chrVII:194488-194554:-
YGL163C,chrVII:197650-197751:-
YGL162W,chrVII:199144-199151:+
YGL161C,chrVII:201304-201409:-
YGL160W,chrVII:201580-201701:+
YGL159W,chrVII:203813-203874:+
YGL158W,chrVII:208036-208113:+
YGL157W,chrVII:210074-210133:+
YGL156W,chrVII:211471-211592:+
YGL155W,chrVII:215105-215205:+
YGL154C,chrVII:217178-217307:-
YGL153W,chrVII:217386-217443:+
YGL151W,chrVII:218644-218662:+
YGL252C,chrVII:22651-22702:-
YGL150C,chrVII:226823-227006:-
YGL148W,chrVII:227460-227561:+
YGL147C,chrVII:229519-229536:-
YGL146C,chrVII:230899-231020:-
YGL145W,chrVII:231347-231386:+
YGL144C,chrVII:235709-235734:-
YGL143C,chrVII:237138-237183:-
YGL142C,chrVII:239307-239360:-
YGL141W,chrVII:239456-239521:+
YGL140C,chrVII:246339-246380:-
YGL139W,chrVII:246563-246591:+
YGL138C,chrVII:250747-250776:-
YGL137W,chrVII:250978-251003:+
YGL136C,chrVII:255038-255102:-
YGL135W,chrVII:255688-255763:+
YGL134W,chrVII:256681-256771:+
YGL133W,chrVII:258684-258692:+
YGL131C,chrVII:267080-267123:-
YGL130W,chrVII:267233-267281:+
YGL250W,chrVII:27011-27074:+
YGL129C,chrVII:270286-270342:-
YGL128C,chrVII:271314-271385:-
YGL127C,chrVII:271937-272040:-
YGL126W,chrVII:272107-272174:+
YGL125W,chrVII:273688-273711:+
YGL124C,chrVII:277914-277941:-
YGL123W,chrVII:278612-278802:+
YGL249W,chrVII:28143-28202:+
YGL122C,chrVII:281668-281719:-
YGL121C,chrVII:282278-282442:-
YGL120C,chrVII:285107-285134:-
YGL119W,chrVII:285531-285573:+
YGL117W,chrVII:289533-289636:+
YGL116W,chrVII:290801-290813:+
YGL115W,chrVII:293022-293097:+
YGL114W,chrVII:294556-294594:+
YGL113W,chrVII:296972-297038:+
YGL112C,chrVII:300855-300930:-
YGL111W,chrVII:301050-301076:+
YGL110C,chrVII:304543-304612:-
YGL108C,chrVII:305195-305305:-
YGL248W,chrVII:30656-30756:+
YGL107C,chrVII:307398-307456:-
YGL106W,chrVII:307620-307702:+
YGL105W,chrVII:308476-308545:+
YGL104C,chrVII:311282-311355:-
YGL103W,chrVII:311992-312072:+
YGL101W,chrVII:313253-313300:+
YGL100W,chrVII:314262-314328:+
YGL099W,chrVII:315675-315722:+
YGL098W,chrVII:318382-318450:+
YGL247W,chrVII:32070-32102:+
YGL097W,chrVII:322458-322539:+
YGL096W,chrVII:326320-326398:+
YGL095C,chrVII:332084-332137:-
YGL094C,chrVII:336078-336122:-
YGL093W,chrVII:336252-336316:+
YGL092W,chrVII:339231-339275:+
YGL246C,chrVII:33966-33985:-
YGL091C,chrVII:344534-344612:-
YGL090W,chrVII:344749-344795:+
YGL087C,chrVII:348411-348444:-
YGL085W,chrVII:351033-351089:+
YGL084C,chrVII:353784-353837:-
YGL083W,chrVII:354433-354472:+
YGL082W,chrVII:357189-357236:+
YGL081W,chrVII:358579-358845:+
YGL080W,chrVII:359994-360139:+
YGL079W,chrVII:360857-360920:+
YGL078C,chrVII:363380-363414:-
YGL077C,chrVII:365405-365589:-
YGL244W,chrVII:36576-36627:+
YGL075C,chrVII:369559:-
YGL073W,chrVII:370110-370207:+
YGL071W,chrVII:373022-373126:+
YGL070C,chrVII:376324-376343:-
YGL068W,chrVII:376491-376556:+
YGL067W,chrVII:377463-377547:+
YGL066W,chrVII:378886-378906:+
YGL065C,chrVII:382746-382807:-
YGL243W,chrVII:38440-38588:+
YGL064C,chrVII:384665-384684:-
YGL063W,chrVII:384857-384919:+
YGL062W,chrVII:386554-386662:+
YGL061C,chrVII:391197-391268:-
YGL060W,chrVII:391380-391404:+
YGL059W,chrVII:393629-393659:+
YGL058W,chrVII:395342-395431:+
YGL057C,chrVII:397221-397300:-
YGL056C,chrVII:399073-399235:-
YGL055W,chrVII:399875-400094:+
YGL054C,chrVII:402731-402845:-
YGL242C,chrVII:40411-40454:-
YGL050W,chrVII:404141-404209:+
YGL241W,chrVII:40578-40608:+
YGL049C,chrVII:408202-408252:-
YGL048C,chrVII:409736-409821:-
YGL047W,chrVII:409883-409980:+
YGL045W,chrVII:412470-412534:+
YGL044C,chrVII:415688-415749:-
YGL043W,chrVII:415908-415950:+
YGL041W-A,chrVII:417218-417296:+
YGL040C,chrVII:419100-419177:-
YGL039W,chrVII:422298-422333:+
YGL038C,chrVII:425302-425510:-
YGL037C,chrVII:426460-426546:-
YGL036W,chrVII:427014-427073:+
YGL035C,chrVII:431555-431664:-
YGL033W,chrVII:433978-434083:+
YGL032C,chrVII:435407:-
YGL031C,chrVII:436381:-
YGL030W,chrVII:437380-437477:+
YGL029W,chrVII:438423-438480:+
YGL238W,chrVII:44671-44722:+
YGL028C,chrVII:447407-447438:-
YGL027C,chrVII:450494-450525:-
YGL026C,chrVII:452886-452952:-
YGL023C,chrVII:456432-456484:-
YGL022W,chrVII:456622-456685:+
YGL021W,chrVII:459095-459167:+
YGL020C,chrVII:462198-462255:-
YGL019W,chrVII:462359-462453:+
YGL018C,chrVII:463992-464047:-
YGL017W,chrVII:464136-464158:+
YGL016W,chrVII:465917-465936:+
YGL015C,chrVII:469798-469854:-
YGL014W,chrVII:470029-470067:+
YGL013C,chrVII:476760-476803:-
YGL012W,chrVII:477142-477199:+
YGL011C,chrVII:479597-479633:-
YGL010W,chrVII:479782-479895:+
YGL009C,chrVII:482970-483084:-
YGL008C,chrVII:487208-487280:-
YGL237C,chrVII:48749-48802:-
YGL006W,chrVII:490231-490233:+
YGL005C,chrVII:494873-494915:-
YGL004C,chrVII:496281-496325:-
YGL003C,chrVII:498551-498608:-
YGL002W,chrVII:498727-498847:+
YGL001C,chrVII:500836-500941:-
YGR001C,chrVII:502369-502407:-
YGR002C,chrVII:504184-504269:-
YGR003W,chrVII:504425-504467:+
YGR004W,chrVII:507177-507278:+
YGL236C,chrVII:50984-50997:-
YGR005C,chrVII:510195-510253:-
YGR006W,chrVII:510360-510392:+
YGR007W,chrVII:511248-511337:+
YGR008C,chrVII:512696-512821:-
YGR009C,chrVII:515338-515398:-
YGL234W,chrVII:51554-51648:+
YGR010W,chrVII:515739-515844:+
YGR012W,chrVII:517440-517482:+
YGR013W,chrVII:518787-518865:+
YGR014W,chrVII:520948-521010:+
YGR015C,chrVII:526271-526336:-
YGR016W,chrVII:526432-526481:+
YGR017W,chrVII:527810-527902:+
YGR019W,chrVII:529375-529471:+
YGR020C,chrVII:531567-531661:-
YGR021W,chrVII:531802-531858:+
YGR023W,chrVII:533205-533337:+
YGR024C,chrVII:536842-536902:-
YGR026W,chrVII:537049-537191:+
YGR027C,chrVII:538703-538727:-
YGR028W,chrVII:540816-540859:+
YGL233W,chrVII:54216-54277:+
YGR029W,chrVII:542166-542227:+
YGR030C,chrVII:550924-550972:-
YGR031W,chrVII:551091-551196:+
YGR032W,chrVII:552840-552876:+
YGR033C,chrVII:559766-559854:-
YGR034W,chrVII:560445-560542:+
YGR035C,chrVII:562215-562262:-
YGR036C,chrVII:563595-563785:-
YGR037C,chrVII:564738-564816:-
YGR038W,chrVII:565255-565365:+
YGR040W,chrVII:568535-568573:+
YGR041W,chrVII:570306-570372:+
YGL232W,chrVII:57201-57250:+
YGR042W,chrVII:572595-572637:+
YGR043C,chrVII:574591-574681:-
YGR046W,chrVII:577950-578024:+
YGR047C,chrVII:582645-582704:-
YGR048W,chrVII:582895-582995:+
YGR049W,chrVII:584334-584465:+
YGR050C,chrVII:585703-585714:-
YGR052W,chrVII:586569-586657:+
YGL231C,chrVII:58808-58857:-
YGR053C,chrVII:589043-589124:-
YGR054W,chrVII:589676-589701:+
YGR055W,chrVII:592551-592589:+
YGL230C,chrVII:59471-59576:-
YGR056W,chrVII:594776-594884:+
YGR057C,chrVII:598744-598774:-
YGR058W,chrVII:599255-599316:+
YGR059W,chrVII:600554-600606:+
YGR060W,chrVII:603638-603741:+
YGR061C,chrVII:609248-609266:-
YGR062C,chrVII:610452-610484:-
YGR063C,chrVII:610989-611036:-
YGL258W,chrVII:6121-6174:+
YGR065C,chrVII:613029-613176:-
YGR066C,chrVII:615009-615110:-
YGR067C,chrVII:618022-618114:-
YGR068C,chrVII:620314-620371:-
YGR070W,chrVII:620907-620998:+
YGL229C,chrVII:62377-62442:-
YGL228W,chrVII:62717-62768:+
YGR071C,chrVII:627330-627356:-
YGR072W,chrVII:627459-627493:+
YGR075C,chrVII:630123-630184:-
YGR076C,chrVII:630817-630894:-
YGR077C,chrVII:632734-632788:-
YGR078C,chrVII:633619-633647:-
YGR080W,chrVII:635175-635223:+
YGR081C,chrVII:636978-637068:-
YGR082W,chrVII:637199-637226:+
YGR083C,chrVII:640033-640110:-
YGR085C,chrVII:642122-642234:-
YGR086C,chrVII:643820-643953:-
YGR087C,chrVII:646208-646230:-
YGL227W,chrVII:64759-64839:+
YGR088W,chrVII:647764-647833:+
YGR089W,chrVII:649876-649902:+
YGR090W,chrVII:655607-655621:+
YGR091W,chrVII:659810-659874:+
YGR092W,chrVII:661608-661677:+
YGR093W,chrVII:663831-663876:+
YGR094W,chrVII:665685-665795:+
YGR095C,chrVII:669923-669949:-
YGR096W,chrVII:670092-670142:+
YGR097W,chrVII:672151-672196:+
YGR098C,chrVII:681230-681257:-
YGR099W,chrVII:681360-681407:+
YGR100W,chrVII:683646-683727:+
YGL226C-A,chrVII:68384-68430:-
YGL226W,chrVII:68491-68543:+
YGR101W,chrVII:686815-686890:+
YGR102C,chrVII:688660-688733:-
YGR103W,chrVII:688920-688935:+
YGR104C,chrVII:691928-691985:-
YGR105W,chrVII:692081-692117:+
YGR106C,chrVII:693340-693394:-
YGR108W,chrVII:697933-697996:+
YGR109C,chrVII:701148-701212:-
YGR110W,chrVII:702866-702964:+
YGR111W,chrVII:704943-705036:+
YGR112W,chrVII:706487-706539:+
YGR113W,chrVII:708021-708064:+
YGR116W,chrVII:709527-709575:+
YGR117C,chrVII:715684-715707:-
YGR118W,chrVII:716102-716171:+
YGR119C,chrVII:718916-718989:-
YGR120C,chrVII:720023-720106:-
YGR121C,chrVII:722112-722210:-
YGR122W,chrVII:722958-723239:+
YGR123C,chrVII:727403-727491:-
YGR124W,chrVII:729337-729445:+
YGR125W,chrVII:731751-731833:+
YGR126W,chrVII:735185-735280:+
YGR127W,chrVII:736227-736301:+
YGR128C,chrVII:739641:-
YGR129W,chrVII:739871-739933:+
YGR130C,chrVII:743365-743489:-
YGR131W,chrVII:744048-744163:+
YGR132C,chrVII:745951-746052:-
YGR134W,chrVII:747114-747143:+
YGR135W,chrVII:750776-750889:+
YGR136W,chrVII:751889-751921:+
YGR138C,chrVII:755120-755135:-
YGR140W,chrVII:756960-756997:+
YGR141W,chrVII:760009-760068:+
YGR142W,chrVII:761788-761932:+
YGR143W,chrVII:764380-764509:+
YGR144W,chrVII:769998-770003:+
YGR145W,chrVII:771340-771386:+
YGR146C,chrVII:774691-774867:-
YGR147C,chrVII:776558-776641:-
YGR148C,chrVII:777423-777433:-
YGR149W,chrVII:778539-778656:+
YGL225W,chrVII:77917-78019:+
YGR150C,chrVII:782698-782733:-
YGR152C,chrVII:791416-791583:-
YGR153W,chrVII:791915-791986:+
YGR154C,chrVII:793730-793852:-
YGR155W,chrVII:794355-794425:+
YGR156W,chrVII:796269-796318:+
YGR157W,chrVII:798186-798288:+
YGL224C,chrVII:80074-80144:-
YGR158C,chrVII:801943-802017:-
YGR161C,chrVII:805322-805467:-
YGR161W-C,chrVII:806100-806170:+
YGR162W,chrVII:808529-808581:+
YGR163W,chrVII:811995-812080:+
YGR165W,chrVII:813603-813643:+
YGR166W,chrVII:814965-814992:+
YGL223C,chrVII:81520-81538:-
YGR167W,chrVII:816879-816982:+
YGR168C,chrVII:819062-819139:-
YGR169C,chrVII:820470-820492:-
YGR169C-A,chrVII:821264-821373:-
YGR170W,chrVII:821642-821678:+
YGL222C,chrVII:82363-82423:-
YGR171C,chrVII:827116-827148:-
YGR172C,chrVII:828163-828201:-
YGR173W,chrVII:828351-828386:+
YGR174C,chrVII:831508:-
YGR175C,chrVII:833343-833354:-
YGL221C,chrVII:83449-83513:-
YGR178C,chrVII:838311-838401:-
YGR179C,chrVII:839801-839860:-
YGR180C,chrVII:841227-841270:-
YGR181W,chrVII:843104-843189:+
YGR183C,chrVII:844391-844492:-
YGR184C,chrVII:851034-851068:-
YGR185C,chrVII:852440-852479:-
YGR186W,chrVII:852642-852671:+
YGL219C,chrVII:85435-85470:-
YGR187C,chrVII:856341-856410:-
YGL216W,chrVII:85776-85782:+
YGR188C,chrVII:860057-860074:-
YGR189C,chrVII:863748-864065:-
YGR191W,chrVII:866097-866137:+
YGR192C,chrVII:869468-869820:-
YGR193C,chrVII:871724-871757:-
YGR194C,chrVII:873723-873772:-
YGR195W,chrVII:874655-874685:+
YGR196C,chrVII:878110-878166:-
YGR197C,chrVII:880069-880278:-
YGR198W,chrVII:880550-880599:+
YGR199W,chrVII:883362-883388:+
YGR200C,chrVII:888198-888238:-
YGR201C,chrVII:889041-889275:-
YGR202C,chrVII:890662-890767:-
YGR203W,chrVII:891097-891143:+
YGR204W,chrVII:891760-891813:+
YGR205W,chrVII:894911-895045:+
YGR206W,chrVII:896310-896394:+
YGR207C,chrVII:897537-897608:-
YGR208W,chrVII:897724-897756:+
YGR209C,chrVII:899133-899283:-
YGR210C,chrVII:900669-900814:-
YGR211W,chrVII:901022-901156:+
YGR212W,chrVII:902906-902941:+
YGR214W,chrVII:906393-906470:+
YGR215W,chrVII:907997-908046:+
YGR216C,chrVII:910369-910436:-
YGR217W,chrVII:910549-910559:+
YGR218W,chrVII:917766-917845:+
YGR220C,chrVII:922417-922463:-
YGL213C,chrVII:92424-92479:-
YGR221C,chrVII:924615-924618:-
YGR222W,chrVII:925437-925510:+
YGL212W,chrVII:92551-92617:+
YGR223C,chrVII:927754-927808:-
YGR225W,chrVII:930513-930617:+
YGR227W,chrVII:932843-932888:+
YGR229C,chrVII:936482-936543:-
YGL211W,chrVII:93654-93679:+
YGR230W,chrVII:937266-937405:+
YGL257C,chrVII:9389-9450:-
YGR231C,chrVII:939060-939125:-
YGR232W,chrVII:939466-939541:+
YGR233C,chrVII:943933-944032:-
YGR234W,chrVII:945337-945603:+
YGR235C,chrVII:947618-947706:-
YGR236C,chrVII:948340-948624:-
YGL210W,chrVII:94863-94942:+
YGR237C,chrVII:951237-951333:-
YGR238C,chrVII:954212-954317:-
YGR239C,chrVII:955607-955720:-
YGR240C,chrVII:959460-959639:-
YGR241C,chrVII:962267-962382:-
YGR243W,chrVII:962745-962944:+
YGR244C,chrVII:964905-965033:-
YGR245C,chrVII:967662-967755:-
YGR246C,chrVII:969837-969892:-
YGR247W,chrVII:970364-970434:+
YGR248W,chrVII:971459-971531:+
YGR249W,chrVII:973452-973604:+
YGR250C,chrVII:979251-979381:-
YGR251W,chrVII:981157-981234:+
YGR252W,chrVII:982386-982465:+
YGL208W,chrVII:98458-98522:+
YGR253C,chrVII:984722-984815:-
YGR254W,chrVII:986429-986508:+
YGR255C,chrVII:989571-989701:-
YGR256W,chrVII:990006-990201:+
YGR257C,chrVII:992948-993010:-
YGR258C,chrVII:996364-996397:-
YGR260W,chrVII:997837-997868:+
YHL001W,chrVIII:100876-100938:+
YHR001W,chrVIII:102628-102709:+
YHR001W-A,chrVIII:104400-104459:+
YHR002W,chrVIII:105295-105371:+
YHR003C,chrVIII:107985-108056:-
YHR004C,chrVIII:109837-109904:-
YHR005C,chrVIII:111615-111689:-
YHR005C-A,chrVIII:112577-112645:-
YHR006W,chrVIII:114076-114127:+
YHR007C,chrVIII:118031-118241:-
YHR008C,chrVIII:119948-120073:-
YHR009C,chrVIII:122076-122315:-
YHL047C,chrVIII:12258-12286:-
YHR010W,chrVIII:122771-122834:+
YHR011W,chrVIII:124093-124102:+
